Day;StartTime;EndTime;Title;Description;Location;Color
2026-08-26;09:00;14:00;Arrival and Check-in;We will be welcoming you at the town hall with gadgets and the info for your accommodation;Meeting point: Town Hall;#fecc08
2026-08-26;16:00;17:00;Tour of Amandola;Guided tour of the town and its main attractions;Meeting point: Town Hall;#fecc08
2026-08-26;17:00;18:30;Socialisation game: get to know the students!;Surprise;;#458657
2026-08-26;18:30;20:30;Opening of the school;"Institutional Greetings & Lection Magistralis: "" In Defence of Europe"" [Alessandro Mulieri - CMRS Paris]";Meeting point: TbD;#9900ff
2026-08-26;20:30;22:30;Welcome typical dinner;;Meeting point: Casa del Parco;#ff9900
2026-08-26;22:30;00:00;Socialising activity;Surprise;Meeting point: Town Hall;#458657

2026-08-27;09:00;09:15;Introduction to the School;We introduce you the program and our vision of the SESS;Meeting point: La Collegiata;#0000ff
2026-08-27;09:15;10:30;History of EU and European Integration;Lecture by: Prof Alessandra Bitumi, University of Teramo;Meeting point: La Collegiata;#0000ff
2026-08-27;10:45;12:30;Presentation of the LUISS project;Professor Christian Iaione [LUISS University of Rome] - François Decoster [Vice-President of the Region of Hauts-de-France, Mayor of Saint-Omer, President of the RENEW Group at the Committee of the Regions];Meeting point: La Collegiata;#0000ff
2026-08-27;12:30;14:00;Lunch;;Meeting point: Casa del Parco;#ff9900
2026-08-27;14:00;15:30;Climate Goals: winning the challenge of climate goals through the creation of skills and competences worldwide;Lecture by: Dott.ssa Ilaria Catastini, Fondazione Maire;Meeting point: La Collegiata;#0000ff
2026-08-27;15:30;16:45;Working for the EU institutions - policies in action. Speed sessions;Lecture by: Pierpaolo Settembri [Transport]-Daniele Calisti [Competition]-Carla Pambianco [Gender Equality]-Chiara Galiffa [Trade]-Niccolò Namari [Trade]-Elena Panichi [Agriculture]-Marco Valletta [Fisheries];Meeting point: La Collegiata;#0000ff
2026-08-27;17:00;18:30;The European Union in the world: a tale of different ecperience and perceptions;Lecture by: Silvia Formentini [Trade Policy] - Elena Panichi [Agricultural Policy] - Marco Valletta [Fisheries Policy] - Impulse speech: Mario Del Pero [Science Po];Meeting point: La Collegiata;#0000ff
2026-08-27;19:00;20:30;Public panel: Europe in the Atlantic and the World. Based on the book “American Darkness: The United States and the World in the Age of Trump”;Book author: Mario Del Pero (Sciences Po) /Moderator: Alessio Bartolacelli (University of Modena and Reggio Emilia) / Panel members: Carlo Ciccioli (Member of the European Parliament) Silvia Formentini (European Commission), Elena Panichi (European Commission), Michele Spangaro (ASSICA), Marco Valletta (European Commission);Meeting point: Town Hall;#9900ff
2026-08-27;20:30;22:00;Dinner;;Meeting point: Casa del Parco;#ff9900
2026-08-27;22:00;00:00;Party in Piazza;;Meeting point: Town Hall;#458657

2026-08-28;09:15;10:45;The EU and environmental policies;Lecture by: Prof. Cristiana Lauri [Univerity of Macerata] - Mariolina Eliantonio [Maastricht University];Meeting point: La Collegiata;#0000ff
2026-08-28;11:00;13:00;EU Digital Policies;Lecture by: Mario Guglielmetti [Lawyer, intervening in his personal capacity, currently working at EDPS], Moderator: Innocenzo Genna [Senior EU advisor for telecom, Internet and IT];Meeting point: La Collegiata;#0000ff
2026-08-28;13:00;14:00;Lunch;;Meeting point: Casa del Parco;#ff9900
2026-08-28;14:00;16:30;Career coffee;Meet the professional you want to become;Meeting point: Town Hall;#9900ff
2026-08-28;16:30;18:30;Simulation exercise;With Joanna Kaminska [European Parliment, European University Institute];Meeting point: La Collegiata;#0000ff
2026-08-28;18:30;20:30;Public panel: EU security and defence;Lecture by: Speakers will be revealed soon;Meeting point: Town Hall (La Cantina);#9900ff
2026-08-28;20:30;22:00;Dinner;;Meeting point: Casa del Parco;#ff9900
2026-08-28;22:00;00:00;Karaoke night;;Meeting point: To be Confirmed;#458657

2026-08-29;09:00;11:00;Departure for the mountain;;Meeting point: Town Hall;#b7b7b7
2026-08-29;11:00;12:30;The difficult path to the Union, from Ukraine to Turkey.;Mountain Lecture by: Prof. Enrico Albanesi, University of Genova - Prof Elif Küzeci, Bilkent University Ankara;Meeting point: Sibillini;#0000ff
2026-08-29;12:30;13:00;Dispatch from Ukraine: negotiations on the ground.;Mountain Lecture by: Joanna Kaminska [European Parliament, European University Institute];Meeting point: Sibillini;#0000ff
2026-08-29;13:00;15:00;Lunch;;;#ff9900
2026-08-29;15:00;16:00;Return from the mountain;;;#b7b7b7
2026-08-29;16:00;18:00;CV Activity;How to create a perfect CV!;Meeting point: Casa del Parco;#9900ff
2026-08-29;18:30;20:00;Public Panel: EU Security and Defence ;Speakers will be revealed soon;Meeting point: Town Hall;#9900ff
2026-08-29;20:00;00:00;Cena al contrario;Backwards dinner organised by Amandola Youth Organisation, CACUAM;Meeting point: TbD;#458657
2026-08-30;10:00;10:30;Checkout;;;#b7b7b7
2026-08-30;10:30;12:00;Public Event: Communicating Europe - meet the EU influencers;Moderator: Giulia Bedini [European Commision];;#9900ff
2026-08-30;12:00;12:30;Farewell ceremony;;;#9900ff
2026-08-30;12:30;14:30;Lunch;;;#ff9900
2026-08-30;14:30;00:00;Goodbye!;End of programme and departure;;#fecc08
