Academic Title & Name,Site
Prof.ssa Alessandra Bitumi,Università di Teramo
Prof. Alessandro Mulieri,CNRS Centre National de la Recherche Scientifique
Prof Alessio Bartolacelli,Università di Modena e Reggio Emilia
Prof.ssa Chiara Feliziani,Università di Macerata
Dott.ssa Costanza Hermanin,European University Institute
Prof.ssa Cristina Fasone,LUISS Guido Carli
Dott. Dario Armini,Ministero degli Affari Esteri e della Cooperazione Internazionale
Prof.ssa  Elena De Nictolis,LUISS Guido Carli
Prof. Enrico Albanesi,Università di Genova
Prof. Fabrizio Marongiu Buonaiuti,Università di Macerata
Prof Gianluca Contaldi,Università di Macerata
Dr. Joanna Kaminska,Parlamento Europeo
Prof.ssa Laura Vagni,Università di Macerata
Dott. Marco Valletta,Commissione Europea
Prof. Mario Savino,Università della Tuscia
Prof.ssa Mariolina Eliantonio,Università di Maastricht
Prof. Mark Thatcher,LUISS Guido Carli
Dott.ssa Michela Angeli,Rappresentanza permanente d’Italia presso l’Unione Europea
Prof. Nicola Lucchi,Universitat Pompeu Fabra Barcelona
Prof. Oreste Pollicino,Università Bocconi
Dott.ssa Sara Cucci,Ministero degli Affari Esteri e della Cooperazione Internazionale
Dott.ssa Simona Ardovino,Commissione Europea
Prof.ssa Simona Romani,LUISS Guido Carli
